Created,GPS,DC Latitude,Model,POST ID
2021:01:06 19:42:20,"38 deg 53' 25.44"" N, 77 deg 0' 34.20"" W",TRUE,iPhone 11,9M4Lnsf790sK
2021:01:06 20:11:33,"38 deg 53' 21.12"" N, 77 deg 0' 29.52"" W",TRUE,null,9mroY9bM530c
2021:01:06 20:24:26,"38 deg 53' 50.64"" N, 77 deg 0' 23.40"" W",TRUE,iPhone 7 Plus,9P8DDrJUAT5Z
2021:01:06 19:28:19,"38 deg 53' 22.20"" N, 77 deg 0' 38.88"" W",TRUE,null,9quKY3UvWlvg
2021:01:06 15:32:59,"38 deg 53' 30.12"" N, 77 deg 2' 12.12"" W",TRUE,iPhone 11,9RrnmonKnZLm
2021:01:06 20:41:31,"38 deg 53' 23.28"" N, 77 deg 0' 30.96"" W",TRUE,iPhone XR,9T1Wgyjt0vKj
2021:01:06 18:29:46,"38 deg 53' 24.36"" N, 77 deg 0' 39.24"" W",TRUE,iPhone 8,9tpBDvg0t5aY
2021:01:06 18:53:34,"38 deg 53' 24.36"" N, 77 deg 0' 36.72"" W",TRUE,iPhone 12 Pro Max,9wOEguonR5WK
2021:01:06 19:30:32,"38 deg 53' 24.72"" N, 77 deg 0' 39.96"" W",TRUE,iPhone 8 Plus,9YKTu0zdQL5F
2021:01:06 18:34:51,"38 deg 53' 27.24"" N, 77 deg 0' 45.72"" W",TRUE,iPhone 11 Pro Max,A1kOgSwRYI8P
2021:01:06 19:36:20,"38 deg 53' 23.28"" N, 77 deg 0' 30.60"" W",TRUE,iPhone 12 Pro Max,A1z3oGHrEMaJ
2021:01:06 19:35:36,"38 deg 53' 24.36"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 7,A6nbSYGTQ2hW
2021:01:06 15:43:50,"38 deg 53' 31.92"" N, 77 deg 2' 6.00"" W",TRUE,iPhone 8,a6R6xt7VEDuE
2021:01:06 13:33:54,"38 deg 53' 27.96"" N, 77 deg 2' 10.32"" W",TRUE,null,a7DW37R386K3
2021:01:06 18:45:02,"38 deg 53' 23.64"" N, 77 deg 0' 37.44"" W",TRUE,iPhone 11 Pro,A8Jiah39MrVY
2021:01:06 20:57:03,"38 deg 53' 24.00"" N, 77 deg 0' 29.16"" W",TRUE,iPhone XS Max,a8lp9oooOT3m
2021:01:06 20:17:37,"38 deg 53' 10.32"" N, 77 deg 1' 4.44"" W",TRUE,iPhone 12 Pro,aAet3LacMVHg
2021:01:06 16:05:15,"38 deg 53' 26.16"" N, 77 deg 2' 9.60"" W",TRUE,iPhone 8 Plus,aBf5G5aaPDj9
2021:01:06 19:18:31,"38 deg 53' 27.96"" N, 77 deg 0' 43.92"" W",TRUE,iPhone XR,Ac7N27Vi6PJd
2021:01:06 22:28:34,"38 deg 53' 22.20"" N, 77 deg 0' 42.12"" W",TRUE,iPhone XR,ACa0xxSznKol
2021:01:06 01:03:29,"38 deg 53' 46.32"" N, 77 deg 1' 54.48"" W",TRUE,iPhone 12,aDNmvpzKl90o
